filename,bpm_estimated,key_estimated,energy_rms,duration_sec,status
anarkiazero - Ska-P - El Vals Del Obrero.mp3,144,C maj,10,279.86,success
Count on Me - Bruno Mars.mp3,89,C maj,10,192.96,success
Daft Punk - One More Time.mp3,123,D min,8,321.41,success
Eres - Cafe Tacvba.mp3,99,A min,10,263.22,success
Flor de Lis - Djavan.mp3,112,E min,10,224.03,success
Ice Cube - It Was A Good Day.mp3,161,F maj,10,260.0,success
On Melancholy Hill - Gorillaz.mp3,123,D maj,10,208.79,success
Parimal Shais - Go to Sleep.mp3,161,C min,10,262.69,success
Put Your Records On - Corinne Bailey Rae.mp3,96,F# min,10,214.51,success
Riptide - Vance Joy.mp3,136,F min,7,204.05,success
Wonderful World - Sam Cooke.mp3,129,B maj,10,129.3,success
Zoé - Luna (MTV Unplugged).mp3,117,G maj,4,301.65,success
